session,source,strategy,difficulty,cognitive,q_num,question,answer,clarity,correctness,distractor,cog_match
S1,RL,clean,easy,recall,1,What is a Markov Decision Process (MDP)?,An environment with states actions and rewards.,4,1,3,1
S1,RL,clean,easy,recall,2,In Dynamic Programming what technique is used to avoid recomputing solutions to sub-problems?,Memoization.,5,1,3,1
S1,RL,clean,easy,recall,3,What is the primary purpose of Dynamic Programming?,To break down a problem into sub-problems recursively.,3,1,2,1
S1,RL,clean,easy,recall,4,What condition is used to stop the Iterative Policy Evaluation?,When there are no updates,3,0,2,1
S1,RL,clean,easy,recall,5,What is the purpose of the Greedy Policy?,To find a better policy with a higher value for each state,3,1,2,1
S1,RL,clean,easy,recall,6,For what value of k is the greedy policy already the optimal policy?,At k = 3,5,1,4,1
S1,RL,clean,easy,recall,7,What does the Bellman Optimality Equation provide?,A recursive decomposition of the value function,4,1,3,1
S1,RL,clean,easy,recall,8,According to the text what does the Markov property satisfy?,The optimal value for a state can be reused,3,1,2,1
S1,RL,clean,easy,recall,9,What is the main goal of Policy Improvement in Dynamic Programming?,Improving the policy to achieve a better value function,4,1,3,1
S1,RL,clean,easy,recall,10,What is the term called for avoiding overly mathematical or misleading connotations of a problem-solving approach?,Richard Bellman's Term,2,0,1,1
S1,RL,clean,easy,recall,11,What is the property of a problem that allows us to break it into sub-problems and recombine their optimal solutions?,Optimal Substructure,5,1,3,1
S1,RL,clean,easy,recall,12,What is the condition for using Dynamic Programming as mentioned in the text?,The problem must satisfy both Optimal Substructure and Overlapping Sub-problems,4,1,3,1
S1,RL,clean,easy,recall,13,What is the goal of prioritising states by the size of their last value update?,To handle states that need more updates first,4,1,3,1
S1,RL,clean,easy,recall,14,What information is used to determine which states are relevant in Real-time Dynamic Programming?,Agent experience,4,1,3,1
S1,RL,clean,easy,recall,15,What is the purpose of Storing states in a priority queue?,To focus on areas of the state-space that are more active in their updates,4,1,3,1
S1,RL,clean,easy,recall,16,How do we choose the best action from a state?,Using q(s a) to select the action with the best value,3,1,3,1
S1,RL,clean,easy,recall,17,What happens if improvement stops for all states?,We have reached optimality,5,1,3,1
S1,RL,clean,easy,recall,18,What is the policy set A?,{Up Down Right Left},2,1,1,1
S1,RL,clean,easy,recall,19,At what value does the agent select each action in a given state?,0.25,5,1,3,1
